Episode,Reward
1,-179.15686582714721
2,-217.16373994126405
3,-177.30438121012426
4,-182.24585168643145
5,-129.05005539373937
6,-195.91660118107308
7,-135.07601267496702
8,-137.14012015670494
9,-135.22130890793593
10,-134.80139026122941
11,-143.0657633692309
12,-135.22292484861924
13,-142.01090004085523
14,-143.7719806701281
15,-122.65269877117312
16,-135.87386971171114
17,-118.01806600814002
18,-149.59712350828573
19,-129.8528270248101
20,-128.00063943884476
21,-142.43773057067864
22,-116.81306607809304
23,-121.42762109462134
24,-130.37440142446562
25,-136.3187132938503
26,-135.05679797668085
27,-140.58609157058945
28,-110.89046925639448
29,-122.5383370404524
30,-137.14116043024418
31,-119.800803594914
32,-132.1145823317483
33,-114.6843061254558
34,-127.85851213827469
35,-134.09714393531073
36,-131.7894345627918
37,-138.92429339936464
38,-115.81103937477809
39,-140.32176370834364
40,-128.87719759693934
41,-133.74692828547472
42,-131.70630109341317
43,-142.27021007901433
44,-140.4735601606734
45,-130.53229723407094
46,-122.43996003309219
47,-121.76870627608491
48,-122.53927698798032
49,-126.47911528583049
50,-143.17547760746635
51,-137.53319837544964
52,-134.13007179866506
53,-150.89761878732526
54,-145.82304547085985
55,-138.3761143729819
56,-133.6828595147797
57,-139.95886304060284
58,-136.47679982368754
59,-130.74326570189012
60,-119.40809108967748
61,-127.94331722390353
62,-123.52767697561606
63,-120.14283932031769
64,-139.2245819556906
65,-133.86267052315316
66,-139.76249786655
67,-136.3057616504613
68,-145.18159796074605
69,-138.82308981387317
70,-137.54021678237223
71,-148.0510501485159
72,-130.33116189408196
73,-124.214438359647
74,-142.1084213913923
75,-143.56894671710364
76,-147.19901605073173
77,-130.7210364454766
78,-131.69331391963186
79,-134.40714084918525
80,-128.01236535528423
81,-145.3486219517174
82,-114.46379703023463
83,-137.03551340740182
84,-125.22164875829324
85,-120.1625792331458
86,-135.339211152955
87,-151.04553006034644
88,-135.90175900054896
89,-139.78099405394192
90,-131.04903082631807
91,-148.10005486464263
92,-139.54645707958358
93,-142.28072696514425
94,-122.55729897930466
95,-112.09066630527538
96,-142.29566893893883
97,-133.25005456144117
98,-130.41781794392418
99,-119.4644466467512
100,-135.58051852940585
101,-122.08736036981102
102,-124.91936865521866
103,-124.34030512941844
104,-126.1447376067896
105,-141.81970512266773
106,-137.02600018442578
107,-137.68133340356516
108,-128.58244570900803
109,-136.93162347019052
110,-126.24565133512941
111,-126.83936741445301
112,-123.61975635013876
113,-131.43809729089062
114,-125.25356467446622
115,-127.92764213268555
116,-134.7011965856582
117,-120.58139012154132
118,-136.8531040215669
119,-124.99188319220971
120,-136.34158164851974
121,-126.52641841675432
122,-127.65068152681306
123,-120.90553869269422
124,-149.82606556581652
125,-137.7501505390944
126,-123.6659483140616
127,-123.76795414377688
128,-136.75223553575816
129,-118.0792194349968
130,-129.5867966303501
131,-122.20464419314473
132,-140.48818349161334
133,-139.3287336678273
134,-131.7843232927628
135,-134.4367783466619
136,-132.5582298038875
137,-146.87023843667941
138,-142.35759452576085
139,-125.35805500898861
140,-125.95405363607736
141,-137.54267864891804
142,-126.1441305221212
143,-110.95636365673866
144,-134.97889427151648
145,-138.5406318748222
146,-139.39079988860806
147,-143.56935565319594
148,-141.34201556152473
149,-143.77751110828228
150,-132.50161069446986
151,-133.42692521300683
152,-130.71855265701478
153,-141.67049130591528
154,-132.46297751297135
155,-142.20087153719155
156,-122.25562203747155
157,-119.90223121443569
158,-142.43179065501323
159,-123.21638051956963
160,-136.96021021111508
161,-136.2910879297758
162,-134.1992483058329
163,-143.84804806789953
164,-143.52754216217278
165,-128.71770292580314
166,-120.17707346464299
167,-122.76436951549395
168,-137.8063706110914
169,-124.30878672612883
170,-126.13867677052075
171,-135.76480939661207
172,-141.27859899604738
173,-140.10180552980307
174,-123.59300498484573
175,-133.71503710760211
176,-121.0091667373053
177,-137.8090268300181
178,-126.25040117864314
179,-128.7016306214189
180,-131.08364080005637
181,-129.99753129803082
182,-140.62794622904846
183,-130.96660355210963
184,-124.88313106474584
185,-138.83564311154728
186,-132.99000596775028
187,-119.3196913382859
188,-133.80536953413664
189,-139.8510042578165
190,-128.35255553453953
191,-134.18288703928886
192,-133.8865607264091
193,-138.49101615349176
194,-123.90810304525493
195,-123.65895360243164
196,-116.24507984901219
197,-118.15597682002601
198,-141.97877021549584
199,-143.42396186188586
200,-132.12736313702138
201,-129.21376871874847
202,-134.63319497163855
203,-152.0525545957767
204,-124.11689532004357
205,-137.37506518396046
206,-124.14377397490352
207,-144.70064294341367
208,-124.2212740106465
209,-118.0156489891643
210,-137.7957370421072
211,-137.29357161415837
212,-121.4123148189306
213,-120.01042391003503
214,-142.19158537354548
215,-134.01542074394445
216,-139.96543934529177
217,-139.86633822639064
218,-139.76734708695048
219,-142.11277668783714
220,-139.0941888204203
221,-125.95008776836615
222,-117.63232188829193
223,-146.21841301880465
224,-140.03618884477248
225,-134.77265091772992
226,-152.35570453365355
227,-144.34405695392653
228,-142.30662517881854
229,-139.5519013346161
230,-121.03960057516325
231,-125.44017947264632
232,-150.43596600525413
233,-146.25114247684786
234,-111.06130846704984
235,-129.54520397082752
236,-118.37355192307882
237,-152.87613021945813
238,-131.26881294987865
239,-127.06923661671486
240,-144.8839838922935
241,-120.34011564950438
242,-127.4566371267046
243,-135.21782795197882
244,-116.75110948208444
245,-131.64228365255596
246,-131.2951574141424
247,-143.8130873655788
248,-126.5132095635177
249,-140.23839537691384
250,-113.78425748258228
251,-127.61966188576343
252,-138.35093374799467
253,-132.4622885398931
254,-127.944069589234
255,-111.01770954676803
256,-146.95075957763459
257,-119.8326783493362
258,-138.56171987139672
259,-129.91614262200744
260,-127.07559637173414
261,-134.63878771367072
262,-133.2803506311454
263,-139.44816997820575
264,-141.76438414612835
265,-133.43010717680937
266,-131.37781926165903
267,-122.84234591868544
268,-149.90981369139865
269,-121.61112650531888
270,-139.81786328504188
271,-131.08259169799626
272,-131.99360656772654
273,-145.12765648305887
274,-128.88350177773646
275,-122.27264815530125
276,-127.88642561671016
277,-151.8559787595075
278,-132.55865058138798
279,-131.18033796184037
280,-129.1064730754535
281,-130.19696099512166
282,-146.74522551060866
283,-127.1719957300238
284,-125.52977939119043
285,-145.6587983737594
286,-112.25465183573066
287,-117.28927804188235
288,-139.35657919069732
289,-125.18999124447706
290,-120.97028443920911
291,-136.97914443995498
292,-134.55068881107061
293,-129.6885663598837
294,-116.7291567820371
295,-128.8374516642566
296,-128.18321772888035
297,-146.32959039823666
298,-126.312119380969
299,-132.31326909166035
300,-134.97654367109615
301,-131.67782626460186
302,-132.21512931460498
303,-134.17222657472965
304,-137.50196475066087
305,-112.52293619577293
306,-118.24918492082398
307,-119.16887562630875
308,-145.28708019203378
309,-145.10212996409865
310,-134.06171233750902
311,-135.53857793771502
312,-134.40237977293708
313,-133.24637912177536
314,-143.06385982377202
315,-124.28707508253522
316,-116.46633012757867
317,-129.57001885035896
318,-135.6425168872661
319,-142.08492165052826
320,-119.86632004671445
321,-129.2647655497128
322,-132.89611131423814
323,-123.14994266555101
324,-140.1330304222902
325,-128.8909831537268
326,-122.61188638035631
327,-113.68607807352265
328,-135.1105577214804
329,-125.55128225012514
330,-121.458976778315
331,-145.84017415845753
332,-129.40652270321812
333,-136.0766032506818
334,-134.00733082860026
335,-141.06698651768488
336,-128.40279732361972
337,-127.10096403547361
338,-134.12594286499782
339,-135.68373250737983
340,-134.46676330044215
341,-141.31923735386857
342,-137.25313675940987
343,-137.07561374581257
344,-138.92127006643636
345,-135.67702401134738
346,-130.37095222822995
347,-128.39446382442046
348,-131.9858546113916
349,-140.47168927587504
350,-142.45375986852224
351,-117.07804674527117
352,-128.82850011354637
353,-141.70484399561528
354,-123.98441759793495
355,-149.57014407082968
356,-123.1626905405476
357,-135.62726378081314
358,-125.52187806985268
359,-132.9024383815225
360,-126.50972103378481
361,-140.41460257798173
362,-146.7709990801471
363,-123.37513048999112
364,-126.48377572980137
365,-124.13746225502841
366,-137.73528893317308
367,-126.39388009408
368,-137.02770525873692
369,-129.9029458974193
370,-128.1675209226621
371,-132.55349082802505
372,-120.66316807297964
373,-133.01574884770488
374,-136.50700221563432
375,-147.4621788284548
376,-131.2367870103267
377,-125.62032852772725
378,-118.54213472282721
379,-128.16276644565198
380,-123.11946394068255
381,-132.07805516021145
382,-140.866284330611
383,-135.08135589534965
384,-142.68623923615598
385,-128.48531334971565
386,-147.37148398319007
387,-116.12922518966535
388,-138.04573244157822
389,-118.40608572193213
390,-146.01213977752977
391,-146.35113496289642
392,-132.8491899442533
393,-134.70709070238942
394,-137.9194389552624
395,-132.00145929147152
396,-119.71223843566668
397,-123.75377302801326
398,-119.54344876957906
399,-133.68341969656714
400,-117.0373651857009
401,-125.94772367785905
