Step,Distance,Reward
1,1.0448960547955655,-1.0448960547955655
2,1.0452586263813335,-1.0452586263813335
3,1.0475588620546363,-1.0475588620546363
4,0.9231218714326094,-0.9231218714326094
5,0.7939176186120872,-0.7939176186120872
6,0.7932495851086986,-0.7932495851086986
7,0.7930148110360499,-0.7930148110360499
8,0.699453738680179,-0.699453738680179
9,0.5902337436111705,-0.5902337436111705
10,0.467841942440382,-0.467841942440382
11,0.3351178838091597,-0.3351178838091597
12,0.19539544023003577,-0.19539544023003577
13,0.05588882277548425,-0.05588882277548425
14,0.03190459664392013,-0.03190459664392013
