Episode,Reward
1,-223.65180936286723
2,-193.04834254438921
3,-203.08465891393274
4,-207.45789716165956
5,-185.82947133950586
6,-217.84483098622815
7,-235.6740723148897
8,-211.72615452383408
9,-217.53170416286125
10,-201.2523756266606
11,-210.67701157081953
12,-188.88876957784316
13,-201.227826150677
14,-206.70171355165368
15,-205.90270615834714
16,-232.74261473095297
17,-207.2881590611755
18,-205.38294449092984
19,-193.50784932653673
20,-186.8697208328903
21,-206.33402661729698
22,-195.8782279113472
23,-228.84380028204424
24,-207.3634805428299
25,-217.43688131465092
26,-212.52682585441875
27,-213.90132860487944
28,-212.90483885650403
29,-175.9201136188344
30,-226.53462066428017
31,-215.0149680575768
32,-201.5866509160428
33,-156.43439378255724
34,-196.762690369056
35,-179.829357925353
36,-188.6048780495948
37,-172.1452625395783
38,-188.9071536378817
39,-186.184014272162
40,-164.70301542677387
41,-196.67851850728135
42,-187.71479477889366
43,-199.67197280010612
44,-182.05845490021397
45,-224.1458693448092
46,-140.5724817692315
47,-216.71326135915302
48,-194.97957380047143
49,-153.97581939445715
50,-159.59176298592607
51,-163.85254381974934
52,-155.22836874460157
53,-160.47550040930716
54,-159.42007028121714
55,-185.95167146216517
56,-233.3355325850403
57,-161.18108148142295
58,-213.97087959048085
59,-191.11961934478887
60,-204.05930485893145
61,-210.09031609529825
62,-180.17419135438658
63,-178.40772733098513
64,-165.9989503051646
65,-160.47927710497493
66,-162.99706918798054
67,-157.1043232501463
68,-190.86480950299477
69,-161.98781153184945
70,-180.51619604908362
71,-141.19276166595057
72,-173.47077986121823
73,-156.28833438491665
74,-177.3649524595239
75,-155.47975221086406
76,-134.6340082973661
77,-200.76711959176967
78,-141.66181335880253
79,-160.7557290585968
80,-180.2728841546119
81,-143.2763093410939
82,-116.4590193974925
83,-144.33479483773164
84,-173.4378753394634
85,-142.8879886153988
86,-151.92798320632537
87,-174.74223288317773
88,-116.6636874206578
89,-129.522291334534
90,-138.58442297191604
91,-182.6123841649429
92,-152.84376139799375
93,-116.78288587540857
94,-153.31654064134946
95,-138.79339040467121
96,-161.30107101716447
97,-171.9775034224417
98,-124.43629222903485
99,-146.16389396510925
100,-122.94672186472638
101,-108.0506117033891
102,-143.07815367419505
103,-131.42701988265495
104,-141.64293325357505
105,-118.768489965647
106,-123.31066469043716
107,-139.91607265528327
108,-131.62720745010787
109,-129.17489267821108
110,-120.24759572084342
111,-140.04375404374082
112,-115.71612911542259
113,-150.96559401258457
114,-111.28089782724678
115,-121.84373945471907
116,-115.7269354635818
117,-119.79562017679606
118,-112.35083032083118
119,-123.25080691194013
120,-123.22917693293047
121,-139.98563061006152
122,-107.00669226498671
123,-124.35531281140199
124,-122.85552349321149
125,-138.31705079716653
126,-128.2214874009609
127,-124.00338023876824
128,-122.69044015598617
129,-116.82478325287416
130,-122.07978996255567
131,-105.25050976630392
132,-101.25377420034118
133,-110.90310643444954
134,-115.58963736112771
135,-116.17272937583056
136,-124.07158127641274
137,-116.9198440054914
138,-107.48704325526214
139,-121.84248765950245
140,-106.59730893506934
141,-120.2908315110152
142,-107.27291923217877
143,-112.34724746215542
144,-106.16678342741956
145,-112.38407874685697
146,-134.09877176281037
147,-114.09834301741805
148,-116.0610188657383
149,-113.14695175096111
150,-131.8600153279463
151,-140.86530997734033
152,-98.53798682171639
153,-105.60591279665267
154,-111.6904195214476
155,-119.83951156092209
156,-107.81991810060103
157,-121.21883926889602
158,-119.60742890875633
159,-108.76437870963778
160,-122.30965365221685
161,-104.27654078842436
162,-116.29564690994744
163,-108.79225714342391
164,-114.74583736441807
165,-99.8286227315412
166,-117.05411016628221
167,-111.28966451093473
168,-100.41477657620395
169,-106.83821954032882
170,-103.48809299018025
171,-100.73466623091616
172,-102.70520774938974
173,-119.03795135754132
174,-108.9071007564673
175,-123.69675472086266
176,-94.7535660216415
177,-108.404028410439
178,-105.6255661679842
179,-123.48761412025056
180,-106.8210770780705
181,-119.91791816191395
182,-110.34020610359025
183,-107.7720227799449
184,-113.77581027763335
185,-110.08613383247182
186,-111.38939776841785
187,-116.98407349433289
188,-114.8688637459215
189,-111.48643397427843
190,-110.88281820335115
191,-108.78337702682353
192,-115.03136483706554
193,-109.39526588123675
194,-112.5551472163864
195,-115.09957755538882
196,-129.5695133883612
197,-112.68309533958617
198,-99.59650519072636
199,-112.69611505133555
200,-116.1767873368214
201,-116.33677032849117
202,-109.54409121435069
203,-114.10009156520168
204,-115.9224194917522
205,-128.64620271023634
206,-110.51149203553547
207,-112.68784780452945
208,-107.80492186022758
209,-112.07043775953794
210,-116.3377955281905
211,-95.95806912665053
212,-102.62866553693833
213,-117.8409235156836
214,-110.34250653414198
215,-96.8306525150067
216,-115.95034709309172
217,-101.4397013311564
218,-113.20923196115501
219,-117.72728622454093
220,-101.32193935668643
221,-124.40926999673533
222,-117.90754530280407
223,-122.32508382073148
224,-94.14715656257125
225,-111.4848705804079
226,-114.14414929556122
227,-110.67273908280295
228,-115.88493185712223
229,-103.85472004240268
230,-105.01851283206646
231,-113.52101029611705
232,-114.07229481831156
233,-105.91389607670457
234,-103.29270022553764
235,-106.92025181279865
236,-111.22225160275914
237,-107.67549482167188
238,-112.22656035019077
239,-107.01459304478969
240,-102.75817922237545
241,-105.0940636505296
242,-103.21835209558698
243,-91.09494139192486
244,-106.65949426133866
245,-98.4926785092645
246,-109.52260668496433
247,-105.08096890206761
248,-109.45569187606368
