#{"t_start": 1744587659.6995637, "env_id": "None"}
r,l,t
-223.42549,200,3.304318
-185.321683,200,6.929579
-203.274282,200,10.594548
-194.836906,200,14.262039
-232.513679,200,17.948639
-201.838859,200,21.482108
-168.409217,200,25.037771
-171.583983,200,27.514557
-190.927649,200,29.763289
-193.555882,200,32.055931
-233.280661,200,34.354182
-213.665693,200,36.645508
-205.096201,200,38.927975
-228.89057,200,41.223692
-179.403688,200,43.527704
-171.593886,200,45.816812
-222.110161,200,48.123482
-208.615571,200,50.410137
-198.933839,200,52.727926
-204.586,200,55.040421
-192.116101,200,57.388434
-198.361861,200,59.709965
-192.151839,200,62.015648
-220.690154,200,64.358192
-224.800988,200,66.727509
-198.434938,200,69.081602
-198.19196,200,71.41194
-210.099354,200,73.929191
-198.989703,200,76.229248
-162.280389,200,78.584063
-209.187528,200,80.877873
-200.141344,200,83.194065
-146.126244,200,85.512911
-214.019877,200,87.843487
-180.480418,200,90.182909
-126.086388,200,92.528877
-196.146479,200,94.846358
-215.609953,200,97.139167
-186.961414,200,99.481727
-149.399112,200,101.823709
-207.933745,200,104.151788
-203.329205,200,106.4711
-134.352351,200,108.809092
-189.33305,200,111.108769
-213.041565,200,113.409939
-196.211265,200,115.739503
-122.596249,200,118.052522
-140.887441,200,120.710423
-196.043601,200,123.237532
-169.470763,200,125.53871
-205.813882,200,127.90053
-141.609522,200,130.260258
-128.815625,200,132.585051
-135.216221,200,135.008729
-162.253192,200,137.297759
-146.342178,200,139.579207
-157.179049,200,141.89151
-152.208601,200,144.227485
-160.706643,200,146.50524
-164.205571,200,148.823373
-120.629779,200,151.125104
-161.199569,200,153.424287
-119.291392,200,155.721522
-120.391996,200,158.046266
-122.119705,200,160.325986
-141.324427,200,162.633786
-190.189688,200,165.04597
-163.171478,200,167.328506
-214.876168,200,169.659435
-167.003523,200,171.949085
-183.75563,200,174.278614
-184.948393,200,176.66926
-204.262767,200,178.947658
-204.288265,200,181.274045
-219.167178,200,183.642806
-184.569016,200,185.914503
-182.24183,200,188.235915
-206.090874,200,190.523431
-221.552072,200,192.82905
-217.785789,200,195.184508
-233.501326,200,197.476432
-232.091479,200,199.792963
-233.033978,200,202.07778
-177.565195,200,204.38629
-183.36359,200,206.694975
-191.935265,200,208.996239
-195.256521,200,211.305067
-243.988587,200,213.597025
-198.93359,200,215.888668
-222.678216,200,218.144982
-241.867222,200,220.471766
-203.918995,200,222.809715
-245.203665,200,225.116267
-212.274262,200,227.499358
-224.581267,200,229.781201
-189.893016,200,232.071721
-174.949323,200,234.364902
-238.34316,200,236.647696
-141.902439,200,238.958626
-129.692283,200,241.297029
-139.928808,200,243.631986
-137.805032,200,245.943566
-162.456169,200,248.236152
-155.62379,200,250.560043
-155.063883,200,252.863162
-212.766577,200,255.18928
-167.307291,200,257.506694
-170.00611,200,259.780336
-170.538128,200,262.103077
-135.97637,200,264.396252
-152.354631,200,266.688217
-198.943203,200,269.021066
-187.521319,200,271.319678
-224.558612,200,273.613812
-181.146537,200,275.893559
-131.382459,200,278.1746
-166.620103,200,280.488396
-190.116066,200,282.781155
-128.88928,200,285.064997
-175.802286,200,287.381982
-165.699472,200,289.70067
-152.70734,200,292.02277
-184.716858,200,294.252272
-114.792036,200,296.472579
-192.783485,200,298.733545
-146.869109,200,300.998139
-169.623481,200,303.314379
-181.971976,200,305.584574
-174.955589,200,307.851111
-176.692345,200,310.090952
-178.666023,200,312.324967
-209.283962,200,314.546079
-197.682463,200,317.091423
-211.646347,200,319.433122
-128.167183,200,321.652103
-105.149377,200,323.883701
-148.289356,200,326.121917
-197.498337,200,328.354947
-139.615717,200,330.573845
-192.443551,200,332.803397
-221.056324,200,335.157836
-143.828738,200,337.542813
-237.4387,200,339.88121
-163.013654,200,342.153899
-200.40024,200,344.429432
-148.911891,200,346.767989
-129.623984,200,349.108635
-228.605894,200,351.418176
-175.076204,200,353.720728
-153.842193,200,356.002573
-157.843787,200,358.320357
-161.069232,200,360.617878
-201.080805,200,362.940977
-127.784137,200,365.26122
-153.722159,200,367.533715
-142.192258,200,369.851326
-166.667152,200,372.164744
-184.752219,200,374.441374
-165.802026,200,376.79495
-125.91504,200,379.090181
-147.351089,200,381.421311
-123.42022,200,383.725504
-169.053803,200,386.038737
-147.774387,200,388.366457
-145.522566,200,390.654654
-127.858324,200,392.976507
-150.963675,200,395.283691
-182.732998,200,397.55684
-194.852022,200,399.873246
-164.818946,200,402.500394
-135.31858,200,404.895008
-151.444307,200,407.20261
-156.802748,200,409.528716
-169.102058,200,411.82868
-161.592796,200,414.405693
-142.347566,200,416.699573
-173.491817,200,419.086209
-167.777665,200,421.449008
-138.105279,200,423.835373
-95.742333,200,426.163974
-132.481596,200,428.599541
-146.121867,200,431.016194
-202.78073,200,433.362405
-203.346981,200,435.751053
-220.881488,200,438.104768
-210.580197,200,440.456145
-164.797643,200,442.769773
-232.998512,200,445.113868
-215.847868,200,447.446246
-234.67092,200,449.795834
-120.418944,200,452.095372
-146.217471,200,454.446386
-149.145948,200,456.757228
-155.802445,200,459.095144
-235.283956,200,461.387849
-263.842656,200,463.703788
-120.229333,200,466.068219
-121.044585,200,468.389737
-166.829421,200,470.710765
-133.932021,200,472.978508
-127.45679,200,475.273296
-199.685072,200,477.588367
-209.581313,200,479.928918
-142.115144,200,482.251295
-214.021747,200,484.591495
-134.292574,200,486.886186
-144.422773,200,489.213103
-122.654638,200,491.519144
-117.386194,200,493.860223
-126.096956,200,496.228112
-158.795116,200,498.634406
-138.946938,200,500.956433
-136.269565,200,503.267847
-185.596924,200,505.619571
-172.091784,200,507.934756
-157.699256,200,510.260128
-220.434682,200,512.570312
-153.197997,200,514.919929
-155.092334,200,517.208482
-201.735579,200,519.57086
-141.562154,200,521.893827
-159.355586,200,524.221868
-165.102946,200,526.544124
-158.139817,200,528.853198
-156.002815,200,531.184179
-151.760559,200,533.514868
-170.582038,200,535.835957
-128.550328,200,538.161097
-178.804615,200,540.523294
-151.859327,200,542.84446
-152.923547,200,545.424815
-151.19291,200,548.460976
-148.273167,200,552.0236
-138.018286,200,554.783139
-166.598346,200,557.498945
-147.45997,200,559.987792
-164.338544,200,562.414664
-144.848041,200,564.978054
-219.754743,200,567.385656
-143.591565,200,569.793443
-138.943099,200,572.154318
-141.014042,200,574.588127
-245.377729,200,577.339206
-149.062272,200,579.908722
-153.571973,200,582.50326
-147.386493,200,585.086302
-153.567137,200,587.53926
-143.078188,200,589.819929
-140.915059,200,592.065048
-198.669617,200,594.330937
-164.858913,200,596.594461
-139.185237,200,599.226943
-222.290623,200,601.776639
-139.877369,200,604.414716
-132.119723,200,606.903798
-203.367637,200,609.359815
-157.015911,200,611.858294
-211.558359,200,614.466243
-189.590383,200,617.116969
-190.426181,200,619.60829
-178.060353,200,622.742038
-115.585373,200,625.217085
-206.941465,200,627.751332
-120.005705,200,630.143006
-147.623115,200,632.719976
-231.255671,200,635.292935
-194.233149,200,638.283744
-199.801136,200,640.726692
-196.111434,200,643.309192
-132.038955,200,645.822009
-186.807722,200,648.27411
-126.897803,200,650.67318
-163.819945,200,653.205982
-150.225897,200,655.576796
-167.188033,200,658.24686
-203.612887,200,660.708018
-158.912398,200,663.1906
-185.771421,200,665.541163
-168.596025,200,667.989658
-170.100622,200,670.534307
-156.989015,200,673.021541
-207.474101,200,675.548923
-166.415492,200,677.934997
-224.713892,200,680.229961
-155.510106,200,682.714755
-197.3661,200,685.107613
-242.385392,200,687.477232
-153.51614,200,689.962371
-212.104981,200,692.451058
-208.390581,200,694.866385
-197.230008,200,697.463555
-196.290101,200,700.611431
-234.977428,200,703.637222
-213.832314,200,706.090959
-159.8445,200,708.603795
-181.047017,200,711.027473
-169.220515,200,713.388526
-202.440459,200,715.787197
-191.430821,200,718.183409
-152.207084,200,720.593698
-138.254285,200,722.993322
-145.237197,200,725.442443
-146.214387,200,727.908061
-181.851224,200,730.236836
-144.530429,200,732.5611
-123.832194,200,735.106397
-158.941405,200,737.67886
-134.246507,200,739.988333
-152.728444,200,742.339367
-166.389191,200,744.678512
-142.806597,200,746.961013
-156.729676,200,749.305419
-130.501915,200,751.597924
-168.278023,200,753.924112
-158.494728,200,756.229762
-166.434583,200,758.566111
-180.432551,200,760.884614
-160.470298,200,763.185841
-154.309933,200,765.511389
-153.881648,200,767.848361
-145.92661,200,770.199353
-193.28827,200,772.49821
-186.459073,200,774.777595
-174.166197,200,777.106859
-154.284096,200,779.380872
-179.272321,200,781.659151
-180.099435,200,783.98153
-135.633891,200,786.292275
-189.774051,200,788.653784
-197.289635,200,790.985765
-137.042639,200,793.33846
-190.93733,200,795.655076
-115.614764,200,798.13645
-172.989053,200,800.426909
-149.949224,200,802.771682
-207.761837,200,805.082783
-203.397707,200,807.404769
-149.717231,200,809.734049
-185.023366,200,812.038149
-184.870692,200,814.374891
-208.687639,200,816.695882
-158.779372,200,819.0591
-194.450339,200,821.400797
-164.023935,200,823.752043
-193.782518,200,826.094741
-176.008536,200,828.460533
-175.487908,200,830.796441
-207.290681,200,833.12451
-207.335524,200,835.448454
-237.99986,200,837.767372
-222.705445,200,840.091963
-214.977063,200,842.397276
-222.539271,200,844.746409
-226.940807,200,847.058328
-152.385648,200,849.396841
-228.832513,200,851.73341
-156.93318,200,854.119355
-236.474388,200,856.474795
-223.333057,200,858.904458
-211.301937,200,861.226647
-183.310035,200,863.589398
-214.423662,200,865.935632
-231.511857,200,868.283096
-221.757677,200,870.642087
-192.621968,200,872.989637
-183.042585,200,875.362001
-180.304134,200,877.695239
-228.680083,200,880.352406
-173.537102,200,882.938172
-234.385335,200,885.395264
-182.005118,200,887.814528
-190.605644,200,890.296359
-186.050895,200,892.823396
-257.878475,200,895.473106
-230.524095,200,898.352666
-168.239753,200,901.112044
-159.435212,200,904.035571
-183.083748,200,906.897019
-188.136417,200,909.213838
-166.754296,200,911.540967
-174.010219,200,913.969867
-206.518356,200,916.315715
-201.826805,200,918.829367
-175.573951,200,921.151184
-193.835237,200,923.483548
-190.900997,200,925.854662
-185.106761,200,928.181866
-167.327584,200,930.521187
-157.512934,200,932.871796
-180.935964,200,935.199126
-197.800631,200,937.547766
-198.131374,200,939.889799
-165.416569,200,942.248007
-190.312448,200,944.648057
-169.921582,200,946.954366
-131.473417,200,949.270977
-179.463756,200,951.654681
-154.154707,200,954.018483
-180.606462,200,956.531775
-141.77261,200,958.90236
-222.367699,200,961.421922
-180.077158,200,964.086784
-137.536243,200,966.553657
-157.454036,200,968.919569
-175.920386,200,971.30408
-177.954766,200,973.789685
-139.951827,200,976.321352
-176.052517,200,979.036814
-163.076328,200,982.003783
-179.984842,200,984.953878
-190.065546,200,988.349481
-197.233399,200,991.723528
-166.143432,200,994.937
