Episode,Reward
1,-216.75622278780565
2,-210.67928824610408
3,-196.5998328962353
4,-217.07656603950147
5,-202.28849918354953
6,-226.9816449824349
7,-234.68606355692745
8,-181.51445404711595
9,-152.87735057681962
10,-152.4085097402205
11,-157.3702155895139
12,-160.35573208934034
13,-178.45117978672974
14,-141.3401475942494
15,-161.42494463027566
16,-174.99562467845533
17,-151.93105986096404
18,-140.2090254587748
19,-139.23719967507978
20,-151.07115339215858
21,-130.37053334385823
22,-169.98258823467776
23,-147.14396292610914
24,-177.91968204529428
25,-171.50488462532982
26,-231.1274819543552
27,-212.53521034843973
28,-188.94989569988127
29,-209.9868721748195
30,-227.19660588594306
31,-221.09904009017694
32,-179.48967635900516
33,-210.77448371976953
34,-192.3164443054361
35,-203.21753930558447
36,-185.66823366160872
37,-172.45446344830572
38,-171.62040581511457
39,-185.78706495580178
40,-167.05560902498405
41,-180.59045089650252
42,-184.41690999209925
43,-180.3947468492871
44,-192.98147311131663
45,-197.75543059101196
46,-204.8735952920012
47,-210.29263489166607
48,-214.17923749855663
49,-206.23772052504629
50,-201.4986691680668
51,-212.85786711573687
52,-195.24745234195018
53,-210.82761612920424
54,-201.27124494673325
55,-206.01354138234709
56,-183.5544119694936
57,-171.07701114210778
58,-194.78250204638664
59,-206.40785904671387
60,-239.582529836944
61,-213.56918368744448
62,-217.28913154969996
63,-203.94161826764687
64,-208.8846826772364
65,-206.22412898398275
66,-208.93624400453024
67,-195.6725286229035
68,-202.47002605366828
69,-175.83213008542054
70,-189.47823607032362
71,-132.5914976608368
72,-147.56695763452575
73,-224.21620855977116
74,-204.67980050960404
75,-214.3481025350666
76,-223.25418190377246
77,-205.80662585608675
78,-199.0091908675515
79,-181.30157098314717
80,-223.92317385681054
81,-215.12455077166933
82,-225.37470888322173
83,-190.67324952330242
84,-198.55188508948706
85,-203.47042664455523
86,-205.34113299606068
87,-182.4538458674836
88,-195.55174547940757
89,-182.36592314373465
90,-197.39046404521568
91,-161.09946128194665
92,-187.68250452499225
93,-196.02912733977436
94,-174.8492872268948
95,-184.98963436867348
96,-182.01266148698554
97,-189.91622721408544
98,-191.1923868303979
99,-167.44207011281196
100,-164.09878167748732
101,-175.26070724284966
102,-177.52969393989494
103,-185.62305081171277
104,-171.25252782655164
105,-158.53294198829565
106,-175.46612586553664
107,-175.43233176373192
108,-182.4378577570991
109,-172.81514817539713
110,-168.84239288324886
111,-172.8801461136174
112,-189.32163549432775
113,-181.16009153920587
114,-185.60280996772408
115,-217.09978341894015
116,-212.45797009095045
117,-203.91075845362553
118,-158.65709166372784
119,-157.16721010102705
120,-159.28433898553496
121,-194.29566297609344
122,-173.96601139572672
123,-198.44221247871783
124,-135.945303107299
125,-190.22227536392757
126,-229.18750843530063
127,-202.5890809245707
128,-178.76142513896573
129,-183.41365654318082
130,-146.01997563133463
131,-144.17848528583104
132,-145.17409853030213
133,-141.76772147486653
134,-164.1118889666951
135,-130.62130161427723
136,-148.4817033970756
137,-153.66438822640038
138,-152.33037793108147
139,-151.22084372572718
140,-119.40415916926865
141,-103.02675003215319
142,-94.56516295917262
143,-90.72199487090016
144,-208.28272983296782
145,-165.85639500862354
146,-207.03985271845684
147,-158.9532564538459
148,-168.1668851666733
149,-138.33879098553575
150,-171.37422107516886
151,-131.04008319931373
152,-132.9092324327435
153,-131.57771712004677
154,-132.7856891619963
155,-134.5665965153915
156,-173.03779768120245
157,-166.4665798379062
158,-127.26615547369008
159,-109.62046114802472
160,-105.28974513362623
161,-113.95706586071684
162,-116.86452786194057
163,-107.74227108185869
164,-100.44315017103455
165,-66.59408910890892
166,-84.0293824392141
167,-98.61723309470231
168,-88.09464339818382
169,-123.47697221532988
170,-86.95162381285967
171,-99.43684058328718
172,-124.47347364056257
173,-115.01602783158391
174,-146.27059568745003
175,-108.78087208967665
176,-121.80679505633553
177,-154.12876076239564
178,-166.89755208432086
179,-114.38989142658048
180,-152.1931262578869
