#{"t_start": 1744592436.020156, "env_id": "None"}
r,l,t
-172.762164,200,1.243677
-181.633828,200,1.576718
-200.756643,200,2.111073
-186.427493,200,2.495011
-216.976371,200,2.924307
-224.303037,200,3.538812
-225.502472,200,3.966979
-205.892302,200,4.297647
-207.043228,200,4.617011
-211.418268,200,4.908057
-196.028771,200,5.306842
-188.718686,200,5.622473
-224.353152,200,5.951799
-201.872495,200,6.243453
-199.076556,200,6.547895
-224.262581,200,6.962901
-219.693431,200,7.303075
-232.968784,200,7.5859
-204.717602,200,7.918013
-241.687511,200,8.242445
-232.237569,200,8.536196
-238.845655,200,8.814936
-223.119585,200,9.098079
-224.473156,200,9.369646
-237.175941,200,9.657501
-222.454629,200,9.934822
-244.7982,200,10.217407
-242.270968,200,10.504666
-236.920599,200,10.783921
-252.974844,200,11.054717
-250.644263,200,11.341431
-230.896505,200,11.620573
-248.120879,200,11.905276
-258.449088,200,12.186023
-235.701313,200,12.471865
-231.499948,200,12.751499
-248.877323,200,13.040372
-247.837957,200,13.329272
-259.366299,200,13.622808
-250.625591,200,13.900781
-247.276145,200,14.226732
-257.427962,200,14.664965
-251.651292,200,15.032997
-254.353095,200,15.491651
-259.225746,200,16.024845
-263.580201,200,16.489879
-263.45608,200,16.92349
-251.725156,200,17.314712
-259.770942,200,17.653824
-249.543101,200,17.964707
-262.839857,200,18.294912
-221.420669,200,18.611505
-247.392449,200,19.022727
-252.979111,200,19.412322
-241.401035,200,19.786591
-246.248548,200,20.167513
-160.661523,200,20.478203
-245.867586,200,20.78346
-227.193996,200,21.08902
-198.227293,200,21.397235
-157.385027,200,21.773389
-161.686738,200,22.139281
-168.425805,200,22.505093
-163.839219,200,22.889624
-172.001269,200,23.247362
-169.114,200,23.623783
-130.011178,200,24.059958
-164.632916,200,24.446625
-141.734873,200,25.349807
-170.27085,200,25.901706
-165.18253,200,26.493136
-154.461466,200,27.149189
-158.646275,200,28.388422
-191.645029,200,29.065108
-159.300385,200,29.537839
-163.873328,200,30.120861
-180.263364,200,30.746206
-170.060382,200,31.118619
-158.449463,200,31.452953
-177.809256,200,31.75469
-187.861788,200,32.044546
-174.237117,200,32.329048
-179.133421,200,32.625717
-175.988133,200,32.923374
-207.498654,200,33.22178
-195.041178,200,33.572656
-172.878394,200,33.854756
-183.700808,200,34.14743
-169.73665,200,34.433553
-164.887618,200,34.701081
-185.325308,200,34.970197
-181.388866,200,35.234981
-194.724132,200,35.579346
-186.449213,200,35.849555
-171.836462,200,36.148111
-196.329278,200,36.440487
-182.572683,200,36.730607
-187.805656,200,36.996818
-190.444769,200,37.27746
-198.386032,200,37.543819
-203.088547,200,37.931772
-195.499324,200,38.258351
-199.393632,200,38.571633
-185.09083,200,38.861242
-189.889278,200,39.180605
-191.6874,200,39.453429
-188.86743,200,39.73146
-195.521463,200,39.996602
-195.023795,200,40.299555
-189.00713,200,40.579684
-185.984119,200,40.86586
-194.848803,200,41.148495
-185.566783,200,41.434474
-184.260703,200,41.704699
-177.558562,200,41.977719
-187.370931,200,42.246518
-200.402955,200,42.526914
-183.300599,200,42.791895
-189.234884,200,43.080544
-180.427901,200,43.372211
-201.057638,200,43.653977
-188.859391,200,43.965227
-179.530042,200,44.248578
-193.408993,200,44.521273
-181.760746,200,44.805075
-183.772275,200,45.074393
-189.991814,200,45.39666
-193.637298,200,45.66333
-182.787488,200,45.944591
-186.326533,200,46.214487
-187.11412,200,46.518553
-178.966154,200,46.793974
-185.595932,200,47.084023
-183.771468,200,47.377191
-176.229247,200,47.657254
-189.333167,200,47.92299
-172.281898,200,48.203594
-178.995155,200,48.471861
-189.580676,200,48.74686
-182.630477,200,49.012368
-194.950815,200,49.288889
-183.271272,200,49.598895
-194.148903,200,49.875582
-186.765305,200,50.144588
-178.414915,200,50.508847
-184.885542,200,50.843946
-194.528076,200,51.145852
-196.342121,200,51.431773
-180.779569,200,51.738914
-185.897781,200,52.055633
-194.015146,200,52.374615
-183.812962,200,52.670811
-193.28254,200,52.945364
-189.486312,200,53.222234
-179.030819,200,53.512429
-176.507315,200,53.790497
-184.221245,200,54.069856
-182.922246,200,54.449331
-180.849196,200,54.826755
-188.093975,200,55.103729
-182.328376,200,55.42882
-174.425684,200,55.693162
-190.57083,200,56.019708
-172.507647,200,56.315718
