Episode,Reward
1,-172.762164
2,-181.633828
3,-200.756643
4,-186.427493
5,-216.976371
6,-224.303037
7,-225.502472
8,-205.892302
9,-207.043228
10,-211.418268
11,-196.028771
12,-188.718686
13,-224.353152
14,-201.872495
15,-199.076556
16,-224.262581
17,-219.693431
18,-232.968784
19,-204.717602
20,-241.687511
21,-232.237569
22,-238.845655
23,-223.119585
24,-224.473156
25,-237.175941
26,-222.454629
27,-244.7982
28,-242.270968
29,-236.920599
30,-252.974844
31,-250.644263
32,-230.896505
33,-248.120879
34,-258.449088
35,-235.701313
36,-231.499948
37,-248.877323
38,-247.837957
39,-259.366299
40,-250.625591
41,-247.276145
42,-257.427962
43,-251.651292
44,-254.353095
45,-259.225746
46,-263.580201
47,-263.45608
48,-251.725156
49,-259.770942
50,-249.543101
51,-262.839857
52,-221.420669
53,-247.392449
54,-252.979111
55,-241.401035
56,-246.248548
57,-160.661523
58,-245.867586
59,-227.193996
60,-198.227293
61,-157.385027
62,-161.686738
63,-168.425805
64,-163.839219
65,-172.001269
66,-169.114
67,-130.011178
68,-164.632916
69,-141.734873
70,-170.27085
71,-165.18253
72,-154.461466
73,-158.646275
74,-191.645029
75,-159.300385
76,-163.873328
77,-180.263364
78,-170.060382
79,-158.449463
80,-177.809256
81,-187.861788
82,-174.237117
83,-179.133421
84,-175.988133
85,-207.498654
86,-195.041178
87,-172.878394
88,-183.700808
89,-169.73665
90,-164.887618
91,-185.325308
92,-181.388866
93,-194.724132
94,-186.449213
95,-171.836462
96,-196.329278
97,-182.572683
98,-187.805656
99,-190.444769
100,-198.386032
101,-203.088547
102,-195.499324
103,-199.393632
104,-185.09083
105,-189.889278
106,-191.6874
107,-188.86743
108,-195.521463
109,-195.023795
110,-189.00713
111,-185.984119
112,-194.848803
113,-185.566783
114,-184.260703
115,-177.558562
116,-187.370931
117,-200.402955
118,-183.300599
119,-189.234884
120,-180.427901
121,-201.057638
122,-188.859391
123,-179.530042
124,-193.408993
125,-181.760746
126,-183.772275
127,-189.991814
128,-193.637298
129,-182.787488
130,-186.326533
131,-187.11412
132,-178.966154
133,-185.595932
134,-183.771468
135,-176.229247
136,-189.333167
137,-172.281898
138,-178.995155
139,-189.580676
140,-182.630477
141,-194.950815
142,-183.271272
143,-194.148903
144,-186.765305
145,-178.414915
146,-184.885542
147,-194.528076
148,-196.342121
149,-180.779569
150,-185.897781
151,-194.015146
152,-183.812962
153,-193.28254
154,-189.486312
155,-179.030819
156,-176.507315
157,-184.221245
158,-182.922246
159,-180.849196
160,-188.093975
161,-182.328376
162,-174.425684
163,-190.57083
164,-172.507647
165,-170.293027
166,-184.922623
167,-179.5042
168,-185.685514
169,-180.974729
170,-183.68703
171,-161.460886
172,-191.193061
173,-156.015811
174,-158.511674
175,-183.569925
176,-185.468209
177,-165.829955
178,-172.948271
179,-168.937905
180,-166.266159
181,-179.019451
182,-185.563687
183,-169.821716
184,-152.75866
185,-179.283062
186,-165.351826
187,-162.596462
188,-150.621851
189,-186.11501
190,-170.754674
191,-174.087644
192,-171.218646
193,-173.872977
194,-184.251207
195,-172.573634
196,-152.226757
197,-180.500143
198,-170.142245
199,-190.855423
200,-171.612622
201,-193.806701
202,-167.733029
203,-186.667286
204,-184.842823
205,-190.87347
206,-202.346908
207,-199.317979
208,-199.346128
209,-199.170953
210,-202.051989
211,-209.041091
212,-205.552895
213,-166.605196
214,-207.37352
215,-202.166545
216,-203.262138
217,-166.664909
218,-192.587384
219,-201.248173
220,-201.781038
221,-201.226429
222,-207.875131
223,-201.864915
224,-219.342975
225,-202.155475
226,-205.538343
227,-207.057776
228,-173.428614
229,-210.441162
230,-219.186395
231,-165.04111
232,-182.33436
233,-168.902472
234,-195.039963
235,-177.373341
236,-190.882364
237,-159.523914
238,-186.921479
239,-153.92647
240,-213.797395
241,-179.258626
242,-190.400553
243,-156.310519
244,-161.199643
245,-202.157891
246,-175.227437
