Episode,Reward
1,-237.0285053730227
2,-242.53001977332988
3,-214.17818497810538
4,-199.02620787199092
5,-147.17488607838163
6,-109.55481069236423
7,-130.20074390849092
8,-209.37161985600454
9,-258.97084253078793
10,-188.6736867273867
11,-189.63335142933806
12,-202.0265608655746
13,-184.44519665363617
14,-199.1739922206513
15,-189.15257586747524
16,-163.9806019115013
17,-183.94968010438538
18,-169.7337360023302
19,-197.26840833917063
20,-212.71941531214677
21,-258.6990088569992
22,-252.40928348706422
23,-265.0680291381579
24,-264.34138890408025
25,-257.2598568383843
26,-251.5393546422248
27,-191.57712772026292
28,-180.6692832961438
29,-192.97224064623254
30,-184.4651971414321
31,-188.75532459133512
32,-183.98544547563696
33,-187.61088302580836
34,-196.42023464859886
35,-182.60391621967403
36,-189.18993483181146
37,-189.17618804567098
38,-177.2287581845723
39,-179.81282179136664
40,-178.8955082688384
41,-169.99314601236418
42,-171.1213454877485
43,-178.52033462240215
44,-186.1561124848373
45,-183.9025878209194
46,-183.91407147781504
47,-190.50831318024873
48,-177.334127089843
49,-182.07629585176176
50,-174.99036461558742
51,-207.3553896217509
52,-182.08922503556795
53,-175.50852946999905
54,-186.77194744404315
55,-170.84675268214605
56,-193.72006121937224
57,-176.453079260986
58,-186.93294252381233
59,-176.554365158724
60,-187.57605994858108
61,-186.84944419375563
62,-175.74065989401493
63,-181.8375985014283
64,-181.83587279832918
65,-183.22288533135043
66,-175.82080533392588
67,-193.18929210648133
68,-185.81765172020184
69,-178.38775169599396
70,-177.60596514591325
71,-191.4294372326291
72,-188.98750363876604
73,-177.78883954666566
74,-168.33273289581683
75,-177.61205129500968
76,-121.38226558748816
77,-139.54502082966314
78,-130.1352788231753
79,-125.96956978041547
80,-129.64521454023486
81,-133.95126721827927
82,-114.37082533989053
83,-133.012286744635
84,-185.89493108069695
85,-181.9194819520828
86,-179.07014679195197
87,-175.1297655471955
88,-167.20215318543103
89,-174.68225662131886
90,-173.38438930743476
91,-186.47948867778206
92,-179.01000820065104
93,-176.45184071677255
94,-175.64764519517277
95,-180.19419280896264
96,-187.39435297616282
97,-183.61106064219092
98,-182.32787388249116
99,-188.99201983533212
100,-175.20956821769028
101,-190.28614086597204
102,-175.8394959061903
103,-182.8302967465929
104,-182.84809018826692
105,-180.77835771859418
106,-186.91266214212055
107,-185.0846360065741
108,-187.82451449091624
109,-169.44797152414992
110,-183.129002199301
111,-202.01117404224013
112,-198.41183255908817
